Cycle Nr.,Temp. [¡C],A1,Time [ms],A2,Time [ms],A3,Time [ms],A4,Time [ms],A5,Time [ms],A6,Time [ms],A7,Time [ms],A8,Time [ms],A9,Time [ms],A10,Time [ms],A11,Time [ms],A12,Time [ms],B1,Time [ms],B2,Time [ms],B3,Time [ms],B4,Time [ms],B5,Time [ms],B6,Time [ms],B7,Time [ms],B8,Time [ms],B9,Time [ms],B10,Time [ms],B11,Time [ms],B12,Time [ms],C1,Time [ms],C2,Time [ms],C3,Time [ms],C4,Time [ms],C5,Time [ms],C6,Time [ms],C7,Time [ms],C8,Time [ms],C9,Time [ms],C10,Time [ms],C11,Time [ms],C12,Time [ms],D1,Time [ms],D2,Time [ms],D3,Time [ms],D4,Time [ms],D5,Time [ms],D6,Time [ms],D7,Time [ms],D8,Time [ms],D9,Time [ms],D10,Time [ms],D11,Time [ms],D12,Time [ms],E1,Time [ms],E2,Time [ms],E3,Time [ms],E4,Time [ms],E5,Time [ms],E6,Time [ms],E7,Time [ms],E8,Time [ms],E9,Time [ms],E10,Time [ms],E11,Time [ms],E12,Time [ms],F1,Time [ms],F2,Time [ms],F3,Time [ms],F4,Time [ms],F5,Time [ms],F6,Time [ms],F7,Time [ms],F8,Time [ms],F9,Time [ms],F10,Time [ms],F11,Time [ms],F12,Time [ms],G1,Time [ms],G2,Time [ms],G3,Time [ms],G4,Time [ms],G5,Time [ms],G6,Time [ms],G7,Time [ms],G8,Time [ms],G9,Time [ms],G10,Time [ms],G11,Time [ms],G12,Time [ms],H1,Time [ms],H2,Time [ms],H3,Time [ms],H4,Time [ms],H5,Time [ms],H6,Time [ms],H7,Time [ms],H8,Time [ms],H9,Time [ms],H10,Time [ms],H11,Time [ms],H12,Time [ms]
11,37,0.0394,600134,0.0395,600335,0.0397,600536,0.04,600737,0.0397,600939,0.0393,601140,0.0396,601341,0.0395,601542,0.0395,601743,0.0397,601944,0.0395,602145,0.0394,602346,0.0393,604864,0.0453,604663,0.8686,604462,0.8655,604261,0.88,604060,0.9028,603859,0.9056,603658,0.9219,603457,0.9221,603256,0.9362,603055,0.0393,602854,0.0395,602653,0.0392,605171,0.0404,605372,0.9559,605573,0.9637,605774,0.977,605975,0.0397,606176,0.0395,606377,0.0394,606578,0.0401,606779,0.8745,606980,0.0394,607181,0.0395,607382,0.0395,609901,0.0402,609700,0.8823,609499,0.8509,609298,0.8692,609097,0.8649,608896,0.871,608695,0.8683,608494,0.8733,608293,0.8645,608092,0.0394,607891,0.0395,607690,0.0393,610205,0.0395,610406,0.8628,610607,0.8789,610809,0.8775,611010,0.34,611211,0.0393,611412,0.0395,611613,0.0392,611814,0.0395,612015,0.0394,612216,0.0395,612417,0.0393,614933,0.0401,614732,0.8575,614531,0.8795,614330,0.8769,614129,1.0015,613928,0.9881,613727,0.9917,613526,0.0395,613325,0.0394,613124,0.0407,612923,0.0395,612722,0.0394,615239,0.0403,615440,0.9684,615641,0.993,615842,0.0344,616043,1.6286,616244,0.901,616445,0.0397,616646,0.0393,616847,0.0394,617048,0.0395,617249,0.0395,617450,0.0394,619965,0.0396,619764,0.0391,619563,0.0441,619362,0.0387,619161,0.0393,618960,0.0382,618759,0.0384,618558,0.0391,618357,0.0396,618156,0.0394,617955,0.0391,617754
12,37,0.0394,660150,0.0395,660351,0.0397,660552,0.0399,660753,0.0397,660954,0.0393,661155,0.0396,661356,0.0395,661557,0.0395,661758,0.0396,661959,0.0394,662160,0.0394,662361,0.0393,664876,0.0452,664675,0.8624,664474,0.8565,664273,0.8724,664072,0.8977,663871,0.9037,663670,0.9138,663469,0.9156,663268,0.9299,663067,0.0393,662866,0.0395,662665,0.0392,665182,0.0404,665383,0.9496,665584,0.9633,665785,0.9766,665986,0.0397,666187,0.0394,666388,0.0393,666589,0.041,666790,0.8742,666991,0.0394,667192,0.0394,667393,0.0394,669912,0.0401,669711,0.8818,669510,0.8344,669308,0.8597,669108,0.8568,668906,0.8632,668705,0.8584,668504,0.8673,668303,0.8581,668102,0.0393,667901,0.0395,667700,0.0394,670216,0.0395,670417,0.8555,670618,0.8719,670819,0.8689,671020,0.3178,671221,0.0393,671422,0.0395,671623,0.0392,671824,0.0395,672025,0.0394,672226,0.0394,672427,0.0394,674941,0.0401,674740,0.8483,674539,0.8715,674338,0.8676,674137,1.0016,673936,0.9866,673735,0.9896,673534,0.0395,673333,0.0394,673132,0.0407,672931,0.0394,672730,0.0395,675247,0.0402,675448,0.9681,675649,0.9937,675850,0.0344,676051,1.631,676252,0.9023,676453,0.0397,676654,0.0393,676855,0.0394,677056,0.0395,677257,0.0395,677458,0.0394,679979,0.0395,679778,0.0391,679577,0.044,679376,0.0386,679174,0.0393,678973,0.0382,678772,0.0384,678571,0.039,678370,0.0395,678169,0.0394,677968,0.039,677767
13,37,0.0394,720166,0.0395,720367,0.0397,720568,0.0399,720769,0.0397,720970,0.0392,721171,0.0396,721372,0.0395,721572,0.0395,721772,0.0396,721973,0.0395,722174,0.0394,722375,0.0393,724891,0.0453,724690,0.8603,724489,0.8506,724288,0.8655,724087,0.8905,723886,0.8957,723685,0.9131,723484,0.912,723283,0.9242,723082,0.0394,722881,0.0395,722680,0.0392,725196,0.0404,725397,0.9451,725598,0.9615,725799,0.9761,726000,0.0397,726201,0.0395,726402,0.0394,726603,0.041,726804,0.8746,727005,0.0394,727206,0.0395,727407,0.0395,729922,0.0401,729721,0.8724,729520,0.8251,729319,0.8517,729118,0.8471,728917,0.8538,728716,0.849,728515,0.8573,728314,0.8497,728113,0.0394,727911,0.0395,727710,0.0394,730229,0.0395,730430,0.847,730631,0.865,730832,0.8599,731033,0.2971,731234,0.0393,731435,0.0394,731636,0.0392,731837,0.0395,732038,0.0394,732239,0.0394,732440,0.0394,734956,0.0402,734755,0.8392,734554,0.8638,734353,0.8591,734152,1.001,733951,0.9843,733750,0.9898,733549,0.0395,733348,0.0394,733147,0.0407,732946,0.0394,732745,0.0394,735262,0.0402,735463,0.9697,735664,0.9942,735865,0.0344,736066,1.6298,736267,0.903,736468,0.0397,736669,0.0393,736870,0.0394,737071,0.0395,737272,0.0395,737473,0.0394,739993,0.0396,739792,0.0392,739591,0.044,739390,0.0387,739189,0.0393,738988,0.0382,738787,0.0384,738586,0.039,738385,0.0396,738184,0.0395,737983,0.0391,737782
14,37,0.0394,780172,0.0395,780373,0.0396,780574,0.0399,780775,0.0397,780976,0.0392,781177,0.0396,781378,0.0395,781579,0.0395,781780,0.0396,781981,0.0395,782182,0.0393,782383,0.0393,784900,0.0453,784699,0.8442,784498,0.8436,784297,0.8562,784096,0.8822,783895,0.8886,783694,0.9049,783493,0.9061,783292,0.9207,783091,0.0393,782890,0.0395,782689,0.0392,785205,0.0404,785406,0.9417,785607,0.9598,785808,0.9728,786009,0.0396,786210,0.0394,786411,0.0393,786612,0.041,786812,0.8718,787012,0.0394,787212,0.0394,787413,0.0395,789927,0.0401,789727,0.8607,789526,0.8148,789325,0.8454,789124,0.8413,788923,0.8466,788722,0.8407,788521,0.8469,788320,0.8432,788119,0.0393,787918,0.0394,787717,0.0394,790230,0.0395,790431,0.8381,790632,0.8558,790834,0.8513,791034,0.2727,791234,0.0393,791435,0.0394,791636,0.0392,791837,0.0395,792037,0.0393,792237,0.0394,792437,0.0393,794950,0.0401,794749,0.8306,794549,0.8558,794349,0.8511,794148,1.0013,793947,0.9857,793746,0.9896,793545,0.0394,793344,0.0394,793143,0.0407,792942,0.0395,792741,0.0394,795253,0.0402,795454,0.9681,795655,0.9941,795856,0.0344,796057,1.6317,796258,0.9036,796459,0.0397,796660,0.0393,796862,0.0394,797063,0.0395,797264,0.0395,797465,0.0394,799988,0.0395,799787,0.0391,799586,0.044,799385,0.0386,799184,0.0393,798983,0.0382,798782,0.0384,798581,0.039,798380,0.0396,798179,0.0394,797978,0.0391,797777
15,37,0.0394,840200,0.0395,840401,0.0396,840602,0.0399,840803,0.0397,841004,0.0392,841205,0.0396,841406,0.0395,841607,0.0395,841808,0.0396,842009,0.0394,842210,0.0394,842411,0.0393,844929,0.0453,844728,0.8389,844527,0.8375,844326,0.8465,844125,0.8763,843924,0.888,843723,0.8924,843522,0.9002,843321,0.9166,843120,0.0393,842919,0.0395,842718,0.0392,845233,0.0404,845434,0.9343,845636,0.9578,845837,0.9704,846038,0.0397,846239,0.0395,846440,0.0393,846641,0.041,846842,0.8711,847043,0.0394,847244,0.0395,847445,0.0395,849962,0.0401,849761,0.8495,849560,0.805,849359,0.8377,849158,0.8345,848957,0.8386,848756,0.8313,848555,0.8404,848354,0.833,848153,0.0394,847952,0.0395,847751,0.0393,850267,0.0395,850468,0.8299,850669,0.8511,850870,0.843,851071,0.248,851272,0.0393,851473,0.0394,851674,0.0392,851875,0.0395,852076,0.0393,852277,0.0394,852478,0.0393,854994,0.0401,854793,0.8227,854592,0.8466,854391,0.8425,854190,1.002,853989,0.9856,853788,0.9906,853587,0.0394,853386,0.0394,853185,0.0407,852983,0.0395,852782,0.0395,855301,0.0402,855502,0.9696,855703,0.9945,855904,0.0344,856105,1.6305,856306,0.9022,856507,0.0397,856708,0.0392,856909,0.0395,857110,0.0395,857311,0.0395,857512,0.0394,860029,0.0395,859828,0.0391,859627,0.044,859426,0.0386,859225,0.0392,859024,0.0382,858823,0.0384,858622,0.0391,858421,0.0395,858220,0.0394,858019,0.0391,857818
16,37,0.0394,900217,0.0395,900416,0.0397,900616,0.0399,900816,0.0397,901016,0.0393,901216,0.0397,901416,0.0395,901615,0.0395,901814,0.0397,902013,0.0395,902213,0.0394,902413,0.0394,904913,0.0452,904714,0.8366,904514,0.8301,904314,0.8464,904115,0.8745,903915,0.8833,903716,0.8947,903517,0.8975,903317,0.9092,903117,0.0394,902917,0.0396,902718,0.0392,905219,0.0404,905419,0.9307,905618,0.9572,905818,0.9685,906018,0.0397,906218,0.0395,906418,0.0394,906617,0.0411,906816,0.8814,907015,0.0394,907215,0.0395,907414,0.0395,909911,0.0402,909712,0.8384,909513,0.7964,909313,0.8282,909114,0.8241,908915,0.8285,908715,0.8224,908516,0.833,908317,0.8241,908118,0.0394,907918,0.0395,907718,0.0394,910214,0.0395,910413,0.8182,910612,0.8403,910811,0.8371,911011,0.2159,911211,0.0393,911410,0.0395,911609,0.0392,911809,0.0395,912008,0.0394,912207,0.0394,912406,0.0394,914904,0.0401,914705,0.8153,914506,0.8395,914307,0.8336,914107,1.0011,913908,0.984,913709,0.9884,913510,0.0395,913311,0.0395,913111,0.0407,912911,0.0395,912711,0.0394,915215,0.0402,915414,0.9708,915613,0.9956,915812,0.0344,916011,1.6324,916210,0.9034,916410,0.0397,916609,0.0393,916808,0.0394,917007,0.0395,917207,0.0395,917406,0.0394,919898,0.0396,919699,0.0391,919500,0.0441,919301,0.0386,919101,0.0393,918902,0.0382,918703,0.0384,918504,0.0391,918305,0.0396,918106,0.0395,917907,0.0391,917708
17,37,0.0395,960231,0.0395,960431,0.0397,960630,0.0399,960830,0.0397,961029,0.0393,961229,0.0396,961428,0.0395,961627,0.0395,961826,0.0397,962026,0.0395,962226,0.0394,962426,0.0394,964931,0.0452,964731,0.824,964531,0.8144,964331,0.837,964131,0.8591,963931,0.8769,963731,0.8914,963531,0.896,963331,0.9034,963131,0.0394,962930,0.0395,962730,0.0392,965237,0.0404,965437,0.9268,965636,0.9552,965838,0.9686,966038,0.0397,966238,0.0395,966438,0.0394,966638,0.0411,966838,0.8694,967038,0.0394,967238,0.0395,967438,0.0395,969942,0.0401,969742,0.8289,969542,0.7886,969342,0.8196,969142,0.8157,968942,0.8195,968742,0.8139,968542,0.8224,968342,0.8151,968142,0.0394,967942,0.0395,967742,0.0394,970250,0.0396,970450,0.8106,970650,0.8363,970850,0.8295,971050,0.1948,971250,0.0393,971450,0.0395,971650,0.0393,971850,0.0396,972050,0.0394,972250,0.0395,972450,0.0393,974956,0.0401,974756,0.8064,974555,0.8311,974355,0.8255,974155,1.0007,973955,0.9861,973755,0.9895,973555,0.0395,973355,0.0395,973155,0.0407,972955,0.0394,972755,0.0395,975264,0.0402,975464,0.97,975664,0.9955,975864,0.0345,976064,1.6328,976264,0.9031,976464,0.0397,976664,0.0393,976864,0.0395,977064,0.0396,977264,0.0396,977464,0.0395,979969,0.0396,979769,0.0392,979569,0.0441,979369,0.0387,979169,0.0393,978969,0.0382,978769,0.0384,978569,0.0391,978369,0.0396,978169,0.0395,977969,0.0392,977769
18,37,0.0394,1020257,0.0395,1020457,0.0397,1020657,0.0399,1020858,0.0397,1021058,0.0392,1021258,0.0396,1021458,0.0395,1021658,0.0395,1021859,0.0396,1022059,0.0395,1022259,0.0394,1022459,0.0393,1024963,0.0452,1024763,0.8175,1024563,0.8073,1024363,0.8287,1024163,0.8531,1023963,0.8697,1023763,0.878,1023563,0.8894,1023363,0.8974,1023163,0.0394,1022963,0.0395,1022763,0.0392,1025278,0.0404,1025478,0.9247,1025678,0.952,1025878,0.9671,1026078,0.0396,1026278,0.0395,1026478,0.0394,1026678,0.041,1026878,0.8722,1027078,0.0394,1027278,0.0395,1027478,0.0395,1029983,0.0401,1029783,0.8229,1029583,0.79,1029383,0.813,1029183,0.8087,1028983,0.8128,1028783,0.8089,1028583,0.8133,1028383,0.8059,1028183,0.0394,1027984,0.0395,1027784,0.0393,1030286,0.0395,1030485,0.8027,1030685,0.8229,1030885,0.8253,1031085,0.1725,1031285,0.0393,1031485,0.0395,1031686,0.0392,1031886,0.0395,1032086,0.0394,1032286,0.0395,1032486,0.0393,1034990,0.0401,1034790,0.799,1034590,0.8249,1034390,0.8171,1034190,1.001,1033990,0.9859,1033790,0.9884,1033590,0.0395,1033390,0.0394,1033190,0.0407,1032990,0.0394,1032790,0.0395,1035294,0.0402,1035494,0.9703,1035694,0.9953,1035894,0.0344,1036094,1.633,1036294,0.9031,1036494,0.0397,1036694,0.0393,1036894,0.0394,1037094,0.0395,1037294,0.0395,1037494,0.0394,1039999,0.0395,1039799,0.0391,1039599,0.0441,1039399,0.0387,1039199,0.0393,1038999,0.0382,1038799,0.0384,1038599,0.039,1038399,0.0396,1038199,0.0394,1037999,0.0391,1037799
19,37,0.0394,1080264,0.0395,1080464,0.0397,1080665,0.0399,1080865,0.0397,1081065,0.0393,1081265,0.0397,1081465,0.0395,1081665,0.0395,1081865,0.0396,1082065,0.0395,1082265,0.0393,1082465,0.0393,1084969,0.0452,1084769,0.8127,1084569,0.801,1084369,0.8255,1084169,0.849,1083969,0.8664,1083769,0.8815,1083569,0.8849,1083369,0.8934,1083169,0.0393,1082969,0.0395,1082769,0.0392,1085276,0.0404,1085476,0.9207,1085676,0.9529,1085876,0.9669,1086076,0.0396,1086276,0.0395,1086476,0.0394,1086676,0.0409,1086876,0.8723,1087076,0.0394,1087276,0.0395,1087476,0.0395,1089979,0.0401,1089779,0.8157,1089579,0.7809,1089379,0.8052,1089179,0.8017,1088979,0.8076,1088779,0.8034,1088579,0.8073,1088379,0.7967,1088179,0.0393,1087979,0.0395,1087779,0.0393,1090283,0.0395,1090484,0.7962,1090684,0.8145,1090884,0.8131,1091087,0.1496,1091287,0.0394,1091487,0.0394,1091687,0.0392,1091887,0.0395,1092087,0.0394,1092287,0.0395,1092487,0.0393,1094992,0.0401,1094792,0.7904,1094592,0.8167,1094392,0.8092,1094192,1.001,1093992,0.9864,1093792,0.9865,1093592,0.0395,1093392,0.0394,1093192,0.0407,1092992,0.0395,1092792,0.0394,1095299,0.0402,1095499,0.9704,1095699,0.9955,1095899,0.0344,1096099,1.6325,1096299,0.904,1096499,0.0397,1096699,0.0392,1096899,0.0394,1097099,0.0395,1097299,0.0395,1097499,0.0394,1100005,0.0396,1099805,0.0392,1099604,0.044,1099404,0.0387,1099204,0.0393,1099004,0.0382,1098804,0.0384,1098603,0.039,1098402,0.0396,1098202,0.0394,1098002,0.0391,1097802
20,37,0.0394,1140280,0.0395,1140481,0.0397,1140682,0.0399,1140883,0.0397,1141084,0.0393,1141285,0.0396,1141486,0.0395,1141687,0.0394,1141888,0.0396,1142089,0.0395,1142290,0.0393,1142491,0.0393,1145006,0.0452,1144805,0.8065,1144604,0.7943,1144403,0.8212,1144202,0.8473,1144001,0.858,1143800,0.8672,1143599,0.879,1143398,0.8881,1143197,0.0393,1142996,0.0395,1142795,0.0392,1145311,0.0404,1145512,0.917,1145713,0.9504,1145914,0.9647,1146115,0.0396,1146316,0.0395,1146517,0.0393,1146718,0.0409,1146919,0.8699,1147119,0.0394,1147320,0.0395,1147521,0.0395,1150039,0.0401,1149838,0.8119,1149637,0.7657,1149436,0.7972,1149235,0.7942,1149033,0.7987,1148833,0.7938,1148631,0.7977,1148430,0.79,1148229,0.0394,1148028,0.0395,1147827,0.0393,1150345,0.0395,1150546,0.7891,1150747,0.8069,1150948,0.8075,1151149,0.1397,1151350,0.0393,1151551,0.0394,1151752,0.0392,1151953,0.0395,1152154,0.0393,1152355,0.0394,1152556,0.0393,1155072,0.0401,1154871,0.7837,1154670,0.8115,1154469,0.8013,1154268,1.002,1154067,0.9856,1153866,0.9895,1153665,0.0394,1153464,0.0394,1153263,0.0407,1153062,0.0394,1152861,0.0395,1155379,0.0402,1155580,0.971,1155781,0.9981,1155982,0.0345,1156183,1.6335,1156384,0.9039,1156584,0.0397,1156784,0.0393,1156984,0.0394,1157184,0.0395,1157385,0.0396,1157585,0.0394,1160098,0.0395,1159898,0.0391,1159698,0.044,1159498,0.0387,1159297,0.0393,1159096,0.0382,1158896,0.0384,1158694,0.0391,1158493,0.0396,1158292,0.0394,1158091,0.0391,1157890
21,37,0.0394,1200289,0.0395,1200490,0.0397,1200691,0.0399,1200892,0.0397,1201093,0.0393,1201294,0.0397,1201495,0.0396,1201696,0.0395,1201897,0.0396,1202098,0.0395,1202299,0.0393,1202500,0.0394,1205017,0.0453,1204816,0.7994,1204615,0.7871,1204414,0.8116,1204213,0.8427,1204012,0.8524,1203811,0.8644,1203610,0.8733,1203409,0.8839,1203208,0.0394,1203007,0.0396,1202806,0.0392,1205324,0.0404,1205525,0.9137,1205726,0.9484,1205927,0.9647,1206128,0.0397,1206329,0.0395,1206530,0.0394,1206731,0.041,1206932,0.87,1207133,0.0394,1207334,0.0395,1207535,0.0395,1210053,0.0401,1209852,0.8107,1209651,0.758,1209450,0.7885,1209249,0.7876,1209048,0.7902,1208847,0.7856,1208646,0.7893,1208445,0.7836,1208244,0.0394,1208043,0.0395,1207842,0.0394,1210357,0.0395,1210558,0.781,1210759,0.8011,1210966,0.7982,1211167,0.1373,1211368,0.0394,1211569,0.0395,1211770,0.0392,1211971,0.0396,1212172,0.0394,1212373,0.0395,1212574,0.0394,1215090,0.0401,1214889,0.7756,1214688,0.8048,1214487,0.7942,1214286,1.0015,1214085,0.9852,1213884,0.9885,1213683,0.0394,1213482,0.0394,1213281,0.0407,1213080,0.0394,1212879,0.0395,1215399,0.0402,1215600,0.9705,1215801,0.9962,1216002,0.0345,1216203,1.635,1216404,0.9045,1216605,0.0397,1216806,0.0393,1217007,0.0395,1217208,0.0396,1217409,0.0395,1217610,0.0394,1220129,0.0396,1219928,0.0391,1219727,0.0441,1219526,0.0386,1219325,0.0393,1219124,0.0382,1218923,0.0384,1218722,0.0391,1218521,0.0396,1218320,0.0394,1218119,0.0391,1217918
22,37,0.0394,1260296,0.0395,1260497,0.0396,1260697,0.0399,1260897,0.0396,1261097,0.0392,1261297,0.0396,1261497,0.0395,1261697,0.0394,1261897,0.0396,1262097,0.0394,1262297,0.0393,1262497,0.0393,1265002,0.0452,1264802,0.7928,1264602,0.7889,1264402,0.8028,1264202,0.8356,1264002,0.8483,1263802,0.8523,1263602,0.869,1263402,0.8802,1263202,0.0393,1263001,0.0395,1262800,0.0392,1265305,0.0403,1265506,0.9109,1265706,0.9487,1265906,0.9627,1266106,0.0396,1266306,0.0394,1266506,0.0393,1266707,0.0409,1266907,0.873,1267107,0.0393,1267307,0.0394,1267507,0.0395,1270011,0.0401,1269811,0.7987,1269611,0.7495,1269411,0.7832,1269211,0.7754,1269011,0.7837,1268811,0.7816,1268611,0.7871,1268411,0.7759,1268211,0.0394,1268011,0.0395,1267810,0.0393,1270315,0.0395,1270516,0.7732,1270716,0.7928,1270916,0.793,1271116,0.1398,1271316,0.0393,1271516,0.0394,1271716,0.0392,1271916,0.0395,1272116,0.0393,1272316,0.0394,1272516,0.0393,1275024,0.0401,1274823,0.7686,1274622,0.7967,1274421,0.7864,1274221,1.0011,1274021,0.9865,1273821,0.9883,1273621,0.0394,1273421,0.0394,1273221,0.0407,1273021,0.0394,1272820,0.0394,1275334,0.0401,1275535,0.9709,1275736,0.9966,1275936,0.0344,1276136,1.634,1276336,0.9039,1276537,0.0397,1276738,0.0392,1276939,0.0394,1277140,0.0395,1277341,0.0395,1277542,0.0394,1280059,0.0395,1279858,0.0391,1279657,0.044,1279457,0.0386,1279257,0.0393,1279057,0.0382,1278857,0.0384,1278656,0.039,1278455,0.0396,1278254,0.0395,1278053,0.0391,1277852
23,37,0.0394,1320315,0.0395,1320516,0.0397,1320717,0.0399,1320918,0.0397,1321119,0.0392,1321320,0.0396,1321521,0.0395,1321722,0.0395,1321923,0.0396,1322124,0.0395,1322325,0.0394,1322526,0.0393,1325040,0.0452,1324839,0.7819,1324638,0.776,1324437,0.798,1324236,0.8285,1324035,0.8392,1323834,0.8575,1323633,0.8648,1323432,0.8788,1323231,0.0393,1323030,0.0395,1322829,0.0392,1325345,0.0404,1325546,0.907,1325747,0.9469,1325948,0.9614,1326149,0.0396,1326350,0.0395,1326551,0.0394,1326752,0.0409,1326953,0.8672,1327154,0.0394,1327355,0.0395,1327556,0.0395,1330075,0.0401,1329874,0.79,1329673,0.7401,1329472,0.7746,1329271,0.7685,1329070,0.775,1328869,0.7714,1328668,0.778,1328467,0.7715,1328266,0.0394,1328065,0.0395,1327864,0.0393,1330379,0.0395,1330580,0.7658,1330781,0.7873,1330982,0.7864,1331183,0.1725,1331384,0.0393,1331585,0.0395,1331786,0.0392,1331987,0.0395,1332188,0.0393,1332389,0.0395,1332590,0.0393,1335103,0.0401,1334902,0.7606,1334701,0.7856,1334500,0.7789,1334300,1.0008,1334099,0.9874,1333898,0.9871,1333697,0.04,1333496,0.0394,1333296,0.0407,1333095,0.0394,1332894,0.0395,1335418,0.0402,1335619,0.9711,1335820,0.9961,1336021,0.0344,1336221,1.6357,1336422,0.9047,1336623,0.0397,1336823,0.0392,1337024,0.0394,1337225,0.0395,1337426,0.0395,1337627,0.0394,1340144,0.0395,1339944,0.0392,1339743,0.0441,1339542,0.0386,1339342,0.0393,1339141,0.0381,1338940,0.0384,1338739,0.039,1338538,0.0396,1338337,0.0394,1338136,0.0391,1337935
24,37,0.0394,1380334,0.0395,1380534,0.0397,1380734,0.0399,1380934,0.0397,1381134,0.0393,1381335,0.0397,1381535,0.0395,1381735,0.0395,1381935,0.0396,1382135,0.0395,1382335,0.0394,1382535,0.0394,1385042,0.0453,1384842,0.781,1384642,0.7748,1384442,0.7876,1384242,0.8206,1384041,0.8361,1383841,0.8463,1383641,0.86,1383441,0.8755,1383241,0.0394,1383041,0.0396,1382840,0.0392,1385345,0.0404,1385546,0.9027,1385746,0.9447,1385946,0.9593,1386146,0.0396,1386346,0.0395,1386546,0.0394,1386746,0.0409,1386946,0.8666,1387146,0.0394,1387346,0.0395,1387546,0.0395,1390050,0.0402,1389850,0.7848,1389650,0.7334,1389450,0.7697,1389250,0.7608,1389050,0.768,1388850,0.7655,1388650,0.7707,1388450,0.7639,1388250,0.0394,1388050,0.0394,1387850,0.0394,1390356,0.0395,1390556,0.7597,1390756,0.7788,1390956,0.7781,1391156,0.1921,1391356,0.0393,1391556,0.0395,1391756,0.0392,1391956,0.0395,1392156,0.0394,1392356,0.0395,1392556,0.0393,1395062,0.0401,1394862,0.7536,1394662,0.7786,1394462,0.7713,1394262,0.9995,1394062,0.9867,1393861,0.9884,1393661,0.0399,1393461,0.0395,1393261,0.0407,1393061,0.0395,1392861,0.0395,1395369,0.0402,1395569,0.9707,1395769,0.9967,1395969,0.0344,1396169,1.6345,1396369,0.9044,1396569,0.0397,1396769,0.0393,1396969,0.0394,1397169,0.0395,1397370,0.0395,1397570,0.0394,1400079,0.0396,1399879,0.0392,1399679,0.044,1399479,0.0387,1399279,0.0393,1399078,0.0382,1398878,0.0384,1398678,0.039,1398478,0.0396,1398278,0.0395,1398078,0.0391,1397878
25,37,0.0394,1440351,0.0395,1440552,0.0396,1440753,0.0399,1440954,0.0397,1441156,0.0393,1441357,0.0396,1441558,0.0395,1441759,0.0395,1441960,0.0397,1442161,0.0395,1442362,0.0394,1442564,0.0393,1445084,0.0453,1444883,0.7749,1444682,0.7638,1444481,0.7853,1444280,0.8135,1444079,0.8314,1443878,0.8424,1443677,0.8557,1443476,0.8707,1443275,0.0394,1443074,0.0395,1442873,0.0392,1445393,0.0404,1445594,0.9015,1445795,0.9438,1445996,0.959,1446197,0.0396,1446398,0.0395,1446599,0.0394,1446800,0.0409,1447001,0.8674,1447202,0.0394,1447403,0.0395,1447604,0.0395,1450119,0.0401,1449918,0.7845,1449717,0.7328,1449516,0.7639,1449315,0.7583,1449114,0.7634,1448913,0.7597,1448712,0.7646,1448511,0.7557,1448310,0.0394,1448109,0.0394,1447908,0.0394,1450425,0.0396,1450626,0.7524,1450827,0.7729,1451028,0.7723,1451229,0.1764,1451430,0.0393,1451631,0.0394,1451832,0.0392,1452033,0.0395,1452234,0.0394,1452435,0.0395,1452636,0.0393,1455153,0.0401,1454952,0.7468,1454751,0.7741,1454550,0.7654,1454349,1.0009,1454148,0.9872,1453947,0.9854,1453746,0.0399,1453545,0.0395,1453344,0.0408,1453143,0.0395,1452942,0.0395,1455458,0.0402,1455659,0.9714,1455860,0.9966,1456061,0.0344,1456262,1.6357,1456463,0.9039,1456664,0.0397,1456865,0.0392,1457066,0.0395,1457267,0.0395,1457468,0.0395,1457669,0.0394,1460186,0.0396,1459985,0.0391,1459784,0.044,1459583,0.0386,1459382,0.0393,1459181,0.0382,1458980,0.0385,1458779,0.039,1458578,0.0395,1458377,0.0395,1458176,0.0391,1457975
